Date,Name,Transaction,Event,Units
12-05-2020,JSWENERGY.BO,Close,Buy,954482
13-05-2020,JSWENERGY.BO,Open,Sell,954482
19-05-2020,BHARTIARTL.NS,Open,Buy,70949
19-05-2020,BHARTIARTL.NS,Close,Sell,70949
29-05-2020,SAIL.BO,Open,Buy,1413673
29-05-2020,SAIL.BO,Close,Sell,1413673
02-06-2020,JSWENERGY.BO,Open,Buy,968687
02-06-2020,JSWENERGY.BO,Close,Sell,968687
05-06-2020,TATAMOTORS.NS,Open,Buy,412258
05-06-2020,TATAMOTORS.NS,Close,Sell,412258
12-06-2020,TATAMOTORS.NS,Open,Buy,442599
12-06-2020,TATAMOTORS.NS,Close,Sell,442599
19-06-2020,TATAMOTORS.NS,Open,Buy,458813
19-06-2020,TATAMOTORS.NS,Close,Sell,458813
22-06-2020,LAURUSLABS.NS,Open,Buy,410633
22-06-2020,LAURUSLABS.NS,Close,Sell,410633
23-06-2020,NTPC.NS,Open,Buy,471896
23-06-2020,NTPC.NS,Close,Sell,471896
08-07-2020,SAIL.BO,Open,Buy,1368677
08-07-2020,SAIL.BO,Close,Sell,1368677
08-07-2020,YESBANK.NS,Close,Buy,1764437
09-07-2020,YESBANK.NS,Open,Sell,1764437
10-07-2020,SAIL.BO,Close,Buy,1247521
13-07-2020,SAIL.BO,Open,Sell,1247521
17-07-2020,YESBANK.NS,Open,Buy,2505552
17-07-2020,YESBANK.NS,Close,Sell,2505552
23-07-2020,LAURUSLABS.NS,Open,Buy,346667
23-07-2020,LAURUSLABS.NS,Close,Sell,346667
28-07-2020,YESBANK.NS,Open,Buy,4262058
28-07-2020,YESBANK.NS,Close,Sell,4262058
29-07-2020,DRREDDY.NS,Open,Buy,11802
29-07-2020,DRREDDY.NS,Close,Sell,11802
31-07-2020,LAURUSLABS.NS,Open,Buy,292347
31-07-2020,LAURUSLABS.NS,Close,Sell,292347
03-08-2020,TATAMOTORS.NS,Open,Buy,503284
03-08-2020,TATAMOTORS.NS,Close,Sell,503284
04-08-2020,RELIANCE.NS,Open,Buy,26750
04-08-2020,RELIANCE.NS,Close,Sell,26750
07-08-2020,JSWENERGY.BO,Open,Buy,1203801
07-08-2020,JSWENERGY.BO,Close,Sell,1203801
10-08-2020,LAURUSLABS.NS,Open,Buy,266271
10-08-2020,LAURUSLABS.NS,Close,Sell,266271
13-08-2020,JSWENERGY.BO,Open,Buy,1110496
13-08-2020,JSWENERGY.BO,Close,Sell,1110496
17-08-2020,NTPC.NS,Open,Buy,637231
17-08-2020,NTPC.NS,Close,Sell,637231
18-08-2020,YESBANK.NS,Open,Buy,4091611
18-08-2020,YESBANK.NS,Close,Sell,4091611
20-08-2020,NTPC.NS,Open,Buy,618391
20-08-2020,NTPC.NS,Close,Sell,618391
21-08-2020,LAURUSLABS.NS,Open,Buy,275530
21-08-2020,LAURUSLABS.NS,Close,Sell,275530
26-08-2020,TATAMOTORS.NS,Open,Buy,457658
26-08-2020,TATAMOTORS.NS,Close,Sell,457658
01-09-2020,JSWSTEEL.NS,Open,Buy,222222
01-09-2020,JSWSTEEL.NS,Close,Sell,222222
10-09-2020,RELIANCE.NS,Open,Buy,27734
10-09-2020,RELIANCE.NS,Close,Sell,27734
14-09-2020,GSPL.NS,Open,Buy,300780
14-09-2020,GSPL.NS,Close,Sell,300780
18-09-2020,DRREDDY.NS,Open,Buy,12266
18-09-2020,DRREDDY.NS,Close,Sell,12266
28-09-2020,LAURUSLABS.NS,Open,Buy,229344
28-09-2020,LAURUSLABS.NS,Close,Sell,229344
05-10-2020,LAURUSLABS.NS,Open,Buy,229809
05-10-2020,LAURUSLABS.NS,Close,Sell,229809
16-10-2020,JSWSTEEL.NS,Open,Buy,221314
16-10-2020,JSWSTEEL.NS,Close,Sell,221314
05-11-2020,SAIL.BO,Open,Buy,1852632
05-11-2020,SAIL.BO,Close,Sell,1852632
11-11-2020,LAURUSLABS.NS,Open,Buy,267142
11-11-2020,LAURUSLABS.NS,Close,Sell,267142
18-11-2020,TATAMOTORS.NS,Open,Buy,450935
18-11-2020,TATAMOTORS.NS,Close,Sell,450935
26-11-2020,SAIL.BO,Open,Buy,1728496
26-11-2020,SAIL.BO,Close,Sell,1728496
27-11-2020,LAURUSLABS.NS,Open,Buy,261194
27-11-2020,LAURUSLABS.NS,Close,Sell,261194
03-12-2020,JSWENERGY.BO,Open,Buy,1242044
03-12-2020,JSWENERGY.BO,Close,Sell,1242044
08-12-2020,YESBANK.NS,Open,Buy,5210180
08-12-2020,YESBANK.NS,Close,Sell,5210180
08-12-2020,YESBANK.NS,Close,Buy,4949671
09-12-2020,YESBANK.NS,Open,Sell,4949671
30-12-2020,SAIL.BO,Open,Buy,1322263
30-12-2020,SAIL.BO,Close,Sell,1322263
31-12-2020,SAIL.BO,Open,Buy,1260675
